IDUTENTE;NOME;NUMERODISPOSITIVOELETRONICO
9231717;CRISTIANO CAIADO MOURA CARNEIRO ESTRELA SEQUEIRA CARVALHEIRA;6497-421
9233056;DORA TINOCO NOGUEIRA PERES MATOS;18808-303
9233803;CARLOTA CLEMENTINO MORA PINHEIRO MORA CAIADO;4726-626
9237308;BERNARDO CABRAL AGUIAR REGO ANTUNES ANDRADE;5747-239
9237517;CRISTIANO VALBOM AMADO MOREIRA ANDRADE FARIAS ROSADO;13190-119
9238015;CELINO MORA LOPES PERES ANTUNES;9339-934
9238604;VALDEMAR LEÃO BELCHIOR CARRASCO BACELAR REAL;2247-543
9241189;BRUNA CARRICO LOBATO CALHEIROS CANECO CARMONA SEIXAS;3922-396
9242110;CARLA CARRASCO LOPES NUNES BARROS MORA ROCHA;12550-615
9242432;BRUNO CASTANHEIRA MARTINS PACHECO ARANTES SOEIRO PACHECO;11308-705
9243630;LUIS MENDES PACHECO ALMADA;12294-494
9246923;CARINA PACHECO SILVA SEQUEIRA;6079-551
9247171;DULCINEIA CASTANHEIRA PINTO CALADO PROENCA SILVA;16172-379
9250544;CAMILO PACHECO BOGAS FERRO DINIS CARNEIRO;14606-598
9251713;VITOR CALHEIROS BELCHIOR CARRICO PAREDES BACELAR CASTANHEIRA;4193-475
9252345;CELINA DOMINGOS PINTO LEAL LOPES ANTUNES FONSECA;12682-941
9256077;DUARTE BRITO CLEMENTINO MACEDO AMORIM BAPTISTA ANTUNES;19436-363
9256308;DORA AZENHA ANDRADE FERRO DIAS;13670-785
9256372;BÓRIS ANDRADE CANECO FERREIRA AZEREDO;14453-136
9257626;DULCE CARRASCO SEIXAS ARANTES FONSECA;16722-715
9257940;BERNARDO AZENHA MARTINS MARTINS AMADO;2332-245
9258113;CARLA CIPRIANO BRITO ROCHA AMORIM LOBATO VALBOM;11083-183
9260887;RICARDO FARIAS AMORIM DINIS COELHO CIPRIANO;9310-456
9263666;FRANCISCA MENDES AZEVEDO MOREIRA CABRAL;16851-164
9267320;CLAUDIO MARTINS VALBOM BACELAR REGO;1877-731
9268058;CRISTIANO MOURÃO CARDOSO CALHEIROS;19603-737
9268328;MARISA ALMADA PACHECO AGUIAR;5868-784
9270533;MARISA BACELAR VALBOM MARTINS CARREIRA ALMEIDA;17411-935
9270999;ALZINDA DOMINGOS DIAS AMORA FERREIRA AZEVEDO;17915-955
9272713;RITA PINHEIRO AZEVEDO ANDRADE BRITO VALBOM VIVAS;11881-422
9273254;DAVID QUEIROS MORA ARANTES LEAL;11004-788
9273681;CRISTIANA AGUIAR CLEMENTINO LOBATO FERREIRA;10282-109
9276443;DULCINEIA LOPES AZEVEDO ALMEIDA;2708-275
9278370;VALDEMAR AMADO EANES AMADO;19191-453
9278424;BASILIO AMADO CARRASCO MOTA ROSADO FERRAZ BARBOSA;10009-288
9278690;ODETE PAREDES ANDRADE CARVALHEIRA;7296-280
9281723;BRUNA CARRICO MENDES CASTRO;14176-132
9282104;CLOTILDE LEAL AMADO AMORIM ALMADA;1789-264
9282168;HUGO MORENO NASCIMENTO CUNHA;7671-965
9282199;LUCAS MOREIRA FONSECA LEÃO NASCIMENTO AROUCA;4310-27
9284719;DORA BARROS QUEIROS CUNHA;7064-296
9284994;FRANCISCA CANECO MORA CABRAL AROUCA MENDES;8509-294
9285888;PEDRO MOURÃO NUNES ANTUNES AMORIM MARTINS CLEMENTINO;2668-439
9285977;ALZINDA SEIXAS CARRASCO AROUCA BACELAR LOBATO;16497-121
9289129;VITOR PINTO BARROS CARRASCO BRITO CAIADO;10177-497
9289160;DULCE ROSADO QUEIROS MOURA;17218-335
9290747;VITOR BRITO PINTO SILVA DOMINGOS;5972-682
9294628;PEDRO ESTRELA CARRASCO PERES;1228-258
9295222;VALDEMAR PIRES AZENHA CABRAL MOURÃO CALHEIROS;11222-167
9295237;CELINO MOURA FERRO CASTANHEIRA;9717-912
9295898;CRISTIANO FONSECA CIPRIANO LEÃO CABRAL BELCHIOR FERRAZ;13564-414
9296754;CRISTIANO FERRO BOGAS DIAS CASTRO;2070-856
9296821;CARLA CARMONA BRITO PROENCA VALBOM;2461-314
9298904;CARINA TINOCO CARVALHEIRA SANTOS RAMALHO ESTRELA CARREIRA;14127-44
9299691;DULCINEIA REAL COELHO PIRES LOPES NOGUEIRA CALHEIROS;10195-465
9300072;FRANCISCA PERES FARIAS AROUCA;7643-868
9304072;DORA PINTO ROCHA TINOCO MATOS BRITO;16458-255
9305733;CRISTIANA FARIAS LOPES CARNEIRO MACEDO;7205-188
9306951;CLARICE BELCHIOR BACELAR SEQUEIRA;19972-872
9306971;LUIS AMADO REGO FERRAZ AROUCA MACEDO;7272-737
9311390;DANIEL CIPRIANO CALHEIROS PERES FERRAZ;16289-867
9311931;HUGO PIRES PINTO REGO;18944-655
9312548;EDUARDA CARNEIRO MOTA QUEIROS REGO;15277-620
9313877;RITA BARBOSA BRITO CARMONA MARTINS;13621-183
9314642;MARIA PINHEIRO ALMADA BRITO AMORIM BRITO MATOS;9532-474
9316836;CARLOTA PROENCA CAIADO ROSADO PINTO CARREIRA;14786-804
9316997;MARISA MORENO BELCHIOR MORA;19546-678
9317959;RITA AMORIM CARMONA DIAS SILVA AZEREDO CAIADO;19579-834
9319271;CARLA AMADO MORA NOGUEIRA EANES SEQUEIRA PACHECO;1792-317
9320144;LEONOR ANDRADE DINIS CUNHA ESTRELA;14412-68
9320820;EDUARDO LEAL DINIS CARDOSO ANDRADE SEIXAS LOPES;4304-119
9324202;VITOR PINHEIRO AMORA NASCIMENTO PACHECO;8084-12
9324317;BÓRIS ANDRADE ESTRELA DIAS;14680-2
9326043;CARLOTA MORENO MORA CARRICO;11137-623
9327222;CARINA RAMALHO TINOCO CANECO;5568-505
9327876;EDUARDA REGO AZENHA DINIS PIRES AMORIM CAIADO;2866-522
9329069;CARMO ROSADO AGUIAR RAMALHO SEQUEIRA BOGAS;9167-235
9330287;DULCE REGUEIRA BAPTISTA ESTRELA;17717-987
9330847;CELINA SOEIRO LOPES MATEUS REGO;19078-799
9332921;BRUNA REGO MOREIRA SANTOS CANECO;5484-5
9334732;HUGO AZEVEDO ANDRADE NASCIMENTO CASTANHEIRA FERRO;19369-928
9335476;PEDRO PROENCA AMORIM BOGAS AMORIM CARRASCO;1912-636
9336681;DORA CASTANHEIRA VALBOM AZEVEDO;8369-377
9337374;DULCINEIA FERRAZ BELCHIOR REAL REGO AMORA NASCIMENTO;18093-828
9339810;DULCE PIRES CARRICO ROSADO;3583-854
9342948;DORA LOPES MORA CASTRO SOEIRO BARROS;5556-609
9342951;CAMILO DINIS MARTINS QUADROS;17939-989
9344066;VITOR CALADO BOGAS CIPRIANO;8702-729
9344332;CELSO PINHEIRO MOURA MOTA ROCHA SOEIRO;1144-359
9346519;BASILIO ROCHA LEAL CARMONA QUADROS;18916-838
9348963;CRISTIANO CALADO CALADO MORA SEQUEIRA RAMALHO;8518-608
9350118;CRISTIANO CARRICO MORA MENDES LOPES;3692-39
9350322;DULCINEIA DINIS MACEDO FERRO ROSADO;18396-605
9351925;DANIEL RAMALHO ANTUNES PERES SOEIRO BARBOSA CARDOSO;12796-844
9353781;DINA CIPRIANO CARREIRA MENDES AMORIM BARROS CUNHA;1354-137
9354061;CARINA AGUIAR AGUIAR PAREDES;14931-352
9358084;RICARDO CASTANHEIRA RAMALHO MOURA MORENO BOGAS;16638-831
9359474;EDUARDA LEÃO BARROS PIRES;5406-619
9362224;CLOTILDE BARBOSA QUADROS PERES;12855-28
9363008;ODETE CUNHA AMORA SEQUEIRA AMORA VALBOM CUNHA;19942-702
9363908;CRISTIANO ROSADO PACHECO ALMEIDA AZEREDO CIPRIANO LOBATO;3695-963
9368792;EDUARDO CARRICO FERRAZ FARIAS CANECO DINIS;5847-746
9369566;RITA LEÃO ARANTES SILVA;8889-363
9370708;LILIANA FERREIRA REGO SEQUEIRA FONSECA ANTUNES;13830-533
9371500;ANA SILVA ROCHA ALMEIDA RAMALHO;18994-809
9371769;DULCE ROSADO MOURÃO SOEIRO;18494-115
9372213;SILVIA ROSADO QUADROS BARBOSA AZENHA QUEIROS;10357-550
9373182;BRUNO BARROS MORENO CALADO;8297-42
9377079;CATARINA AMORIM REGO CLEMENTINO MARTINS;16153-827
9378817;DANIEL ESTRELA AMORA ANDRADE AZEREDO BARROS EANES;4298-380
9379734;VITOR CALHEIROS SEQUEIRA DINIS CIPRIANO;6178-803
9379922;EDUARDA CALADO MATEUS SEQUEIRA FERRO MORENO REGO;2363-460
9387747;LUCAS CABRAL PACHECO BACELAR;1341-194
9389670;BASILIO DIAS LOBATO SEIXAS CARREIRA CASTRO;6213-421
9390698;HUGO NASCIMENTO DIAS AMORIM;18621-264
9392838;DUARTE BARROS ANDRADE COELHO;19985-161
9392961;VITOR QUEIROS BACELAR LOPES PACHECO;5148-975
9394656;CRISTIANA VALBOM MORA ALMEIDA;17731-43
9394701;EDUARDA NASCIMENTO PAREDES SILVA CARDOSO AMORIM;13685-991
9394865;FRANCISCA CABRAL SEQUEIRA ANDRADE CANECO;14185-766
9396305;DUARTE TINOCO BELCHIOR REGO MATEUS;11684-579
9396600;DULCINEIA PINHEIRO SEIXAS QUADROS;17734-40
9397007;BÓRIS ARANTES SANTOS CARRICO CIPRIANO BRITO AGUIAR;11528-339
9397584;FRANCISCA BRITO LOBATO AROUCA;5135-285
9399882;CLOTILDE PINHEIRO AZEVEDO MOTA BOGAS NOGUEIRA MACEDO;11615-8
9401104;BRUNA CAIADO DIAS ANDRADE;5348-190
9401198;DORA AMORA COELHO CARNEIRO FARIAS;6455-571
9401562;DULCINEIA LOPES AROUCA MENDES;17400-658
9403516;RODOLFO FERREIRA NOGUEIRA FARIAS ROSADO CASTANHEIRA;7225-881
9409044;RODOLFO CASTRO CLEMENTINO DINIS LOBATO CABRAL;16040-234
9410861;CELINO QUEIROS AMADO FARIAS VIVAS;15477-529
9412500;ODETE LOBATO ESTRELA DINIS AZEREDO LEAL;6605-654
9414771;FRANCISCO DINIS BACELAR PROENCA SILVA NUNES;18267-110
9416644;FRANCISCO FERRAZ PACHECO FERRO RAMALHO PAREDES FARIAS;15174-832
9417942;DOLORES RAMALHO FERRAZ CARRICO;9560-263
9419080;DAVID LEÃO REAL REGUEIRA AZEVEDO COELHO;8094-980
9421526;PAULO BACELAR MACEDO CALADO;1996-332
9422135;LILIANA CALHEIROS FERREIRA REGUEIRA BRITO LOBATO;5051-326
9424709;ANA PROENCA MATOS TINOCO CARVALHEIRA ARANTES;15250-1
9424915;DOLORES CARRICO MOURÃO VALBOM;5257-199
9425292;CARMO CIPRIANO MACEDO ANDRADE REGO;2835-836
9427985;CELINO BELCHIOR BRITO RAMALHO BRITO SEQUEIRA;5176-261
9430158;BRUNO CARREIRA ANDRADE FARIAS PIRES;15892-83
9430974;SILVIA MENDES AZENHA CALHEIROS;8611-245
9431515;CELINA REGO CARDOSO MACEDO;6705-975
9431957;CELINO BARROS VIVAS VIVAS FONSECA;4094-328
9431971;ANA CASTRO AZEREDO NASCIMENTO;15068-137
9432873;FRANCISCO CABRAL PERES AMADO AZEREDO ALMEIDA SANTOS;5331-444
9435404;CARLA BOGAS MATEUS AMORA PERES CUNHA;9193-58
9439316;CRISTIANA CARNEIRO PACHECO RAMALHO MORA MARTINS;2867-816
9440255;CARLOTA ANDRADE CANECO CARDOSO REGO;7122-628
9441626;CLARICE AZEREDO MATOS CASTRO MOTA CUNHA BELCHIOR;1407-969
9442541;CELSO ROCHA AZENHA AZEREDO SANTOS CASTANHEIRA CIPRIANO;7663-743
9444320;PAULA BRITO ALMADA CLEMENTINO;2185-197
9444378;LILIANA CALADO REGO CASTRO;12268-543
9445155;CLARICE BACELAR SOEIRO ROSADO BRITO COELHO;12584-41
9446833;DAVID BRITO COELHO LEÃO;17788-233
9449606;LEONOR BRITO RAMALHO MENDES MOURA BACELAR;17418-3
9450187;CLARICE REGUEIRA SOEIRO AZEVEDO;1032-141
9452048;LUIS CASTANHEIRA DOMINGOS MOURÃO PAREDES;1499-622
9453117;CARLOTA PERES LEAL SEIXAS;19072-4
9453967;MARIA BOGAS AGUIAR BARROS;14491-91
9455648;EDUARDA AROUCA CARNEIRO CAIADO CARRICO BARROS BRITO;17235-673
9456051;CARLOTA FERRAZ MACEDO BACELAR CARVALHEIRA MOURA;1116-299
9457324;RITA LOBATO CARVALHEIRA ALMADA LEAL;12596-412
9459092;ALZINDA CUNHA AZEVEDO FERRAZ AZEREDO;17700-726
9460159;DINA AZEREDO CARNEIRO REGO;19263-146
9460244;CRISTIANA ARANTES CARRASCO RAMALHO QUADROS LEAL FERREIRA;5417-716
9460259;PEDRO AZEREDO VALBOM CARNEIRO NUNES MATOS MORA;5707-289
9460878;CRISTIANO AMADO AROUCA PINHEIRO;13962-935
9461956;BASILIO FERREIRA MOURA AZENHA;19070-714
9462659;BASILIO SOEIRO MORENO PROENCA;2182-437
9463414;EDUARDA FERRO LEÃO MARTINS CALHEIROS ANTUNES;8387-468
9464853;SORAIA CALADO CASTANHEIRA REGO MATEUS DIAS;19376-4
9465196;DANIEL CIPRIANO ANDRADE ANTUNES CASTANHEIRA MARTINS;13517-406
9468629;DULCE PACHECO AMORIM DINIS REGUEIRA CARMONA QUEIROS;16411-324
9470339;DANIEL SOEIRO CASTANHEIRA BARBOSA SOEIRO MOURA;9654-54
9470405;DULCINEIA CLEMENTINO LOBATO SEQUEIRA;12800-232
9470872;CLAUDIO MOTA CARMONA QUEIROS VIVAS;1602-911
9472741;BRUNA CANECO AZEVEDO BARBOSA;2012-699
9473728;SILVIA AZEREDO PROENCA CARREIRA;1919-151
9474721;SORAIA MATOS PINHEIRO MATEUS PIRES SOEIRO ALMEIDA;13361-108
9478017;PAULO SEIXAS MENDES LOPES COELHO FERRAZ BELCHIOR;7468-47
9481807;CATARINA REGO VIVAS AZEVEDO ESTRELA;4160-518
9482884;RODOLFO ANDRADE EANES MOURÃO;12778-241
9483384;DAVID REAL QUADROS TINOCO FERRO;10569-621
9484585;CLAUDIO SEIXAS BARBOSA SEIXAS MOURA CABRAL PIRES;6466-763
9484722;CLOTILDE TINOCO AROUCA PIRES;12663-432
9487209;PEDRO DIAS CARRICO MATOS RAMALHO BOGAS;11341-378
9488252;DORA LEÃO CARDOSO FERRO CANECO;1945-70
9488833;SILVIA ALMEIDA REAL ESTRELA;16994-345
9489277;HUGO LEAL CALHEIROS LOBATO AZEVEDO ROCHA;3252-750
9490053;BRUNO CARVALHEIRA ANTUNES ESTRELA;1164-72
9491109;DORA REGUEIRA FERREIRA AZENHA VIVAS CARMONA;17431-985
9491668;LILIANA LEÃO ARANTES QUADROS MOURA ANDRADE;14059-86
9497479;FRANCISCA BAPTISTA LEÃO LOBATO PERES;19629-706
9499934;DULCE CANECO LOPES LEÃO;10396-100
9501046;RICARDO AZEVEDO CARREIRA NOGUEIRA;19824-867
9505979;CARLOTA LEÃO CLEMENTINO LOBATO BOGAS FONSECA;5849-605
9507391;CARLOTA CARNEIRO MOTA NOGUEIRA PROENCA ROCHA SOEIRO;16293-131
9507933;MARISA AZENHA PERES REAL CABRAL;12685-571
9508269;DOLORES MOTA REGO ROCHA AZENHA;11832-481
9509067;CARLOTA MOREIRA ANDRADE SEQUEIRA MOURÃO LOBATO;9364-946
9510876;CELSO DINIS NUNES FONSECA TINOCO;8643-858
9511116;LILIANA VALBOM CARVALHEIRA MOTA;10249-457
9511799;CARMO PAREDES AZEVEDO DINIS ROSADO REGO;7693-479
9512020;CARMO SILVA REGUEIRA RAMALHO QUADROS;12148-805
9512170;DULCINEIA SILVA PAREDES MORA VALBOM;4105-9
9512387;ANA LEAL BELCHIOR TINOCO SOEIRO FERREIRA CARMONA;11726-600
9513173;VITOR BACELAR SOEIRO AZEVEDO ANDRADE ANDRADE DIAS;9391-65
9513925;EDUARDO AMADO PINTO BARROS;9381-504
9514162;ODETE BRITO ANTUNES AZEVEDO FERREIRA SOEIRO;14042-581
9514523;BÓRIS ROSADO SILVA COELHO CLEMENTINO MOTA;14526-366
9515631;DULCE CALADO CLEMENTINO MORENO MORA;6181-977
9515694;MARISA NOGUEIRA RAMALHO PACHECO;2450-521
9516526;DUARTE MORENO PINHEIRO VALBOM MORA AROUCA;9529-641
9518416;BÓRIS AZEREDO CUNHA SEIXAS SEQUEIRA PACHECO CLEMENTINO;18393-385
9518568;FRANCISCO ESTRELA ROSADO LOBATO BARBOSA DIAS REGO;17390-912
9521722;CLARICE VIVAS ALMADA QUEIROS MACEDO CABRAL;16725-644
9522537;CRISTIANA AMORIM BARROS CANECO;9876-889
9526002;RITA MENDES SOEIRO ANTUNES;1935-431
9526713;DORA CARDOSO PERES PERES SANTOS TINOCO MORA;1698-861
9526819;LILIANA ANDRADE MATEUS AROUCA AMORIM MATEUS;19520-699
9527491;SORAIA MOREIRA CALADO PROENCA SEQUEIRA AMORIM ANDRADE;1873-775
9531220;CLAUDIO COELHO MENDES AZEVEDO FARIAS;8663-540
9532749;DUARTE REAL ROCHA VALBOM REGUEIRA;18432-815
9534896;CELINA SANTOS CIPRIANO PERES CALADO;8747-850
9535035;CELINO DINIS BELCHIOR MARTINS;3795-699
9536260;CAMILO VALBOM CASTANHEIRA MOURA;12705-783
9536351;LEONOR NOGUEIRA REAL LEAL AMORIM AZENHA;16318-926
9536500;CLOTILDE CASTANHEIRA BRITO PINTO;4826-697
9536886;DUARTE ANDRADE FONSECA SOEIRO CALADO;1702-936
9537757;DAVID BAPTISTA SEQUEIRA ESTRELA CASTRO ANDRADE;16530-382
9539183;BÓRIS NASCIMENTO FERREIRA AMORIM FERRAZ;6117-23
9539351;ODETE FERRAZ SEIXAS FERRO AZENHA;8952-525
9539564;PEDRO SILVA CARNEIRO BELCHIOR BACELAR CARVALHEIRA MOURÃO;11085-3
9539659;BÓRIS ANTUNES AZENHA AZEREDO AMORIM RAMALHO;19337-949
9539985;ALZINDA REAL BARBOSA LEAL CARRICO PACHECO PINTO;3328-599
9540436;DOLORES PROENCA CANECO CALHEIROS REAL MORENO MACEDO;2540-571
9541034;DAVID CARREIRA FONSECA CALHEIROS MOTA AROUCA CARNEIRO;5593-696
9541319;DUARTE LEAL AMORIM REAL;4822-101
9541885;CELINO AROUCA ESTRELA CARREIRA CALADO BARROS;14801-493
9542713;BÓRIS AGUIAR PAREDES PINHEIRO SANTOS ARANTES TINOCO;8490-18
9545196;PAULO BRITO CASTANHEIRA ANDRADE MORENO CIPRIANO;16669-948
9547889;LEONOR EANES FARIAS CLEMENTINO;2733-55
9553508;DULCE REGUEIRA REGO QUADROS AROUCA;1711-935
9556619;DULCE BARBOSA PINTO LEÃO CARNEIRO;3913-993
9557552;EDUARDA MENDES SANTOS FERRAZ BELCHIOR QUADROS;3655-271
9558019;VALDEMAR CARNEIRO QUADROS AGUIAR SEQUEIRA;9232-355
9558365;CARINA AMORA ALMADA FONSECA FONSECA EANES;7369-564
9559667;CELINO CARREIRA CARVALHEIRA LEÃO AMADO PINTO VIVAS;16905-318
9561010;CARLA PAREDES EANES MORA AZEVEDO;16045-497
9561224;DANIEL ROSADO ANDRADE CARVALHEIRA ESTRELA;18808-64
9562030;BÓRIS ALMEIDA VIVAS MATOS ROSADO FERRO CANECO;6764-198
9565098;BÓRIS MATOS SEQUEIRA CARDOSO ANDRADE FERRAZ SANTOS;10549-525
9566102;DULCE MORENO CABRAL BAPTISTA QUADROS DINIS CARRICO;6156-210
9566984;MARIA PROENCA SILVA MOTA BRITO CARDOSO;12909-35
9568314;CARLA AGUIAR SOEIRO CALADO;2434-198
9568522;FRANCISCO LEÃO BELCHIOR EANES ARANTES CANECO;5803-764
9568892;LEONOR AZENHA BOGAS MORA MATEUS;7521-785
9569399;PEDRO REAL VALBOM CARREIRA LEAL CASTRO;14645-59
9570783;CLAUDIO REGO RAMALHO AMORIM REGO BAPTISTA;17799-730
9571433;JOANA ANDRADE DINIS CAIADO AROUCA;4267-817
9573152;RODOLFO ARANTES FERRAZ LEÃO;6555-32
9575210;PAULO COELHO REAL PROENCA MARTINS;6855-681
9580590;CARMO REGO CABRAL FERRO BRITO;16929-172
9580869;DOLORES PAREDES SILVA NOGUEIRA QUADROS PERES;1841-42
9581282;VITOR CARREIRA BARROS AMORA LEAL NASCIMENTO AROUCA;3123-928
9581421;RITA PACHECO ROCHA CARDOSO;4513-923
9581542;CRISTINA CABRAL EANES MENDES ROSADO MATOS TINOCO;11696-200
9581889;CRISTIANA MATOS CABRAL SEIXAS;10661-93
9582521;CARMO FERREIRA DIAS CABRAL BELCHIOR AMORA AZENHA;11917-193
9583181;LILIANA MARTINS PACHECO BARROS;1303-339
9586748;BRUNA SANTOS MOREIRA CARVALHEIRA BARROS;13521-631
9587433;BASILIO PERES SILVA ANDRADE BOGAS LEÃO;17710-886
9588469;EDUARDO BAPTISTA ALMADA PINTO;14598-976
9590321;LILIANA BARROS ANDRADE AZEVEDO MATOS CASTANHEIRA MARTINS;17459-173
9592212;BRUNO BACELAR ANTUNES COELHO AZENHA CARREIRA CARRICO;15340-243
9592215;JOANA CARRICO PROENCA CASTRO CALHEIROS SEQUEIRA FARIAS;3521-454
9592609;LEONOR SOEIRO CARNEIRO ROCHA CABRAL;4060-873
9592751;CATARINA CANECO COELHO DINIS;3061-688
9597877;DULCE NUNES AGUIAR ARANTES SILVA VIVAS;14227-455
9599454;VALDEMAR ROSADO REGO REGO LOPES REGUEIRA;13993-522
9600879;CRISTIANO AZEVEDO NOGUEIRA CIPRIANO;19525-404
9600900;EDUARDA MACEDO QUADROS FERREIRA MATEUS PINHEIRO MOTA;11305-92
9601624;RITA DINIS DINIS ARANTES FERREIRA CARREIRA BRITO;11395-749
9602766;CATARINA MARTINS CASTRO PROENCA CARNEIRO SANTOS FERRAZ;4579-171
9602823;MARISA NUNES CARREIRA REGO PIRES;12449-351
9603108;CARLOTA CARRASCO VIVAS SOEIRO LEÃO SEIXAS;8409-658
9605182;SILVIA PAREDES BACELAR AROUCA AROUCA;19389-936
9608622;BASILIO CASTRO BRITO BARROS REGUEIRA;6190-942
9611325;CRISTINA ESTRELA MOURA CARRASCO PACHECO AZEVEDO;4258-342
9614062;CRISTIANO MOURA FERRO EANES MENDES;16711-158
9614916;VITOR EANES CARNEIRO CARDOSO ALMEIDA BRITO AZENHA;3542-816
9615115;CELINO ARANTES CALHEIROS FONSECA LEÃO BAPTISTA;3343-790
9615870;BRUNA FONSECA AMORA AMORIM ANDRADE AMORIM LOPES;5294-874
9617304;RITA CARDOSO QUADROS CARNEIRO BACELAR;3324-378
9618803;HUGO MOURÃO CARRASCO AROUCA MENDES;8245-79
9619084;DINA CLEMENTINO BARROS AROUCA BRITO;5738-306
9620326;CRISTIANA SEQUEIRA CASTRO MORENO;16025-297
9620739;CARLOTA DINIS REGO LOPES;12072-725
9621736;DORA SEIXAS MOURA VIVAS PIRES;9132-629
9621886;RICARDO REGO CASTANHEIRA PAREDES;9732-753
9622074;CAMILO PINHEIRO BARBOSA CALADO PINTO MOURA;10157-252
9622512;CATARINA SOEIRO PINHEIRO AZENHA LEÃO CAIADO AZEVEDO;10796-115
9624366;EDUARDO CALHEIROS AZEREDO CUNHA BARROS SOEIRO ALMEIDA;18301-194
9626890;BRUNO DINIS BAPTISTA MACEDO;13177-574
9627374;PAULO BRITO BRITO BRITO SEQUEIRA;5728-116
9627634;CELINO CIPRIANO PAREDES DOMINGOS PIRES;17786-944
9628633;MARIA ROCHA EANES CIPRIANO LOPES;5833-600
9629017;ANA LOPES BARROS ANTUNES CARDOSO;13788-438
9629119;JOANA MATOS PINHEIRO FERRAZ SEIXAS VALBOM PROENCA;2196-38
9632584;PAULA PAREDES CARNEIRO ALMEIDA LOPES;5255-236
9635785;CLAUDIO AGUIAR PAREDES ROSADO FERRAZ;14183-534
9638281;LUIS LEAL CALADO LEAL CASTANHEIRA DOMINGOS;3861-724
9639320;BERNARDO LEAL AMORIM BRITO ESTRELA MOREIRA VIVAS;8137-501
9641518;ODETE LEÃO ANDRADE BACELAR LEÃO;11102-296
9645337;BRUNA CASTRO PACHECO CARMONA AMORIM PIRES MOURÃO;17804-5
9648333;PAULA CIPRIANO SOEIRO CALADO FERRAZ;14508-342
9648702;LEONOR ANTUNES FARIAS ANDRADE FONSECA MARTINS;6503-286
9648839;EDUARDA CARNEIRO REAL MORA QUADROS;1285-560
9651014;CARMO MOREIRA LOPES BARROS ARANTES AZEVEDO;11863-826
9654383;CELSO MOURÃO SILVA SANTOS;2324-224
9655557;CRISTINA CALHEIROS RAMALHO FERRO;18515-492
9656481;DINA MORENO AZENHA BOGAS RAMALHO;18544-318
9657171;EDUARDA AGUIAR NUNES BRITO;19218-885
9657681;BASILIO FERRO QUADROS CANECO;16654-237
9658093;CELSO CARVALHEIRA MACEDO PACHECO CARMONA ARANTES LEÃO;1241-433
9658202;FRANCISCO ESTRELA BRITO CIPRIANO REGO;9519-528
9658259;VALDEMAR SEIXAS CARREIRA MORENO BACELAR;17372-90
9659395;CAMILO SILVA ANDRADE ANDRADE PACHECO;13076-203
9660646;FRANCISCA CALADO PACHECO CUNHA DIAS;7098-730
9662062;DULCINEIA BAPTISTA QUEIROS MARTINS TINOCO;2424-530
9668224;FRANCISCO MARTINS TINOCO ANDRADE;13246-248
9670132;FRANCISCO FERRAZ ALMADA SANTOS BACELAR;3293-562
9670417;CARLOTA CIPRIANO FERRO BOGAS NASCIMENTO PAREDES DIAS;2688-398
9670940;LILIANA SEQUEIRA DINIS VALBOM CARMONA AMADO ANTUNES;15571-847
9671418;CLAUDIO EANES CIPRIANO VIVAS;14907-808
9671680;PAULO VALBOM MOURÃO MACEDO SILVA;1211-321
9672546;CELINO NUNES BARBOSA ROCHA;6986-4
9674470;EDUARDO PROENCA FERREIRA FERRAZ QUEIROS CASTRO BARBOSA;3222-598
9674560;PEDRO NOGUEIRA PACHECO TINOCO PACHECO;9135-154
9674796;DOLORES BRITO CASTANHEIRA NASCIMENTO;8619-487
9675309;ODETE BARROS AZEREDO LOPES;1006-46
9678536;DANIEL ALMADA REAL VALBOM;14564-750
9684357;FRANCISCA AMORA COELHO BACELAR CAIADO NUNES BARBOSA;1427-653
9686490;LUCAS CAIADO PERES CANECO;10961-60
9688151;CATARINA CALHEIROS ROSADO AMORIM;18562-858
9688961;CLARICE CARRICO MORENO REAL SANTOS;15497-650
9689291;CAMILO CALHEIROS MATOS NASCIMENTO BELCHIOR;5482-518
9689431;FRANCISCA ALMADA SILVA ARANTES ANDRADE PERES BARBOSA;19101-671
9690251;PAULA REGO ROCHA ANDRADE;6413-801
9690720;RODOLFO AZEREDO BARROS AMORIM;19183-215
9692203;HUGO MACEDO FONSECA MATOS CABRAL AGUIAR SANTOS;8738-350
9692416;CATARINA BRITO LEÃO AZENHA;11776-678
9693270;ODETE SOEIRO ANTUNES PAREDES LOBATO PACHECO;2278-430
9694461;DAVID ROCHA CASTRO FERREIRA ANDRADE;6323-246
9694760;CAMILO LEÃO BAPTISTA SOEIRO VIVAS AMADO;11742-913
9695157;HUGO BARROS BRITO MOURA ANDRADE;10294-665
9696014;DULCE CUNHA PAREDES SEIXAS AMADO MARTINS;15090-548
9696457;CAMILO BARROS CIPRIANO CARRICO CUNHA CARREIRA FERREIRA;5222-897
9697049;CELINA SANTOS SOEIRO MOTA;8991-452
9699046;DORA REAL REGO AZEREDO DINIS;10618-98
9700893;PAULA FERRAZ CARRASCO REGO;8000-854
9708253;FRANCISCA RAMALHO AMORIM REGO ALMEIDA;15317-320
9708424;BRUNO QUEIROS ANDRADE AZENHA AZENHA PERES SILVA;2655-745
9708795;JOANA BRITO SEIXAS NOGUEIRA MENDES MORENO DIAS;3122-793
9711248;PEDRO PINTO FERRO AMADO PROENCA FONSECA ANTUNES;10950-32
